                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.16252,                0.88108,                      1,                 0.5027,              0.0002369,              0.0002369,              0.0002369
                      2,                0.03794,                0.89459,                      1,                0.49387,             0.00045923,             0.00045923,             0.00045923
                      3,                0.02166,                0.88784,                      1,                0.48983,             0.00066585,             0.00066585,             0.00066585
                      4,                0.01766,                0.81486,                      1,                0.52424,             0.00064331,             0.00064331,             0.00064331
                      5,                0.01545,                0.87162,                      1,                0.49534,             0.00064331,             0.00064331,             0.00064331
                      6,                0.01297,                0.87838,                      1,                0.49499,             0.00061975,             0.00061975,             0.00061975
                      7,                 0.0057,                0.89459,                      1,                0.48482,             0.00059619,             0.00059619,             0.00059619
                      8,                 0.0032,                0.88784,                      1,                0.48877,             0.00057263,             0.00057263,             0.00057263
                      9,                0.00311,                0.88784,                      1,                0.48888,             0.00054907,             0.00054907,             0.00054907
                     10,                0.00173,                0.87432,                      1,                0.49498,              0.0005255,              0.0005255,              0.0005255
                     11,                0.00198,                0.87568,                      1,                0.49197,             0.00050194,             0.00050194,             0.00050194
                     12,                0.00362,                 0.9027,                      1,                0.48108,             0.00047838,             0.00047838,             0.00047838
                     13,                0.00159,                0.87703,                      1,                0.49227,             0.00045482,             0.00045482,             0.00045482
                     14,                0.00155,                0.87297,                      1,                0.49887,             0.00043126,             0.00043126,             0.00043126
                     15,                0.00108,                    0.9,                      1,                0.48342,             0.00040769,             0.00040769,             0.00040769
                     16,                0.00198,                0.87973,                      1,                0.49192,             0.00038413,             0.00038413,             0.00038413
                     17,                0.00087,                0.89189,                      1,                0.48615,             0.00036057,             0.00036057,             0.00036057
                     18,                 0.0004,                0.88919,                      1,                 0.4888,             0.00033701,             0.00033701,             0.00033701
                     19,                0.00039,                0.89459,                      1,                0.48774,             0.00031345,             0.00031345,             0.00031345
                     20,                0.00031,                0.89054,                      1,                0.48875,             0.00028988,             0.00028988,             0.00028988
                     21,                0.00039,                0.89324,                      1,                  0.488,             0.00026632,             0.00026632,             0.00026632
                     22,                0.00022,                0.89324,                      1,                0.48832,             0.00024276,             0.00024276,             0.00024276
                     23,                0.00027,                0.88784,                      1,                0.48959,              0.0002192,              0.0002192,              0.0002192
                     24,                0.00024,                0.88919,                      1,                0.48916,             0.00019564,             0.00019564,             0.00019564
                     25,                0.00021,                0.89054,                      1,                0.48878,             0.00017207,             0.00017207,             0.00017207
                     26,                0.00023,                0.88784,                      1,                0.48786,             0.00014851,             0.00014851,             0.00014851
                     27,                0.00017,                0.89054,                      1,                0.48772,             0.00012495,             0.00012495,             0.00012495
                     28,                0.00025,                0.89459,                      1,                0.48676,             0.00010139,             0.00010139,             0.00010139
                     29,                0.00016,                0.88378,                      1,                0.49042,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                 0.0003,                0.89054,                      1,                0.48831,             5.4264e-05,             5.4264e-05,             5.4264e-05
